color,director_name,num_critic_for_reviews,duration,actor_1_name,gross,movie_title,genres
Color,Barry Sonnenfeld,451,106,Will Smith,179020854,Men in Black 3 ,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi
Color,Peter Jackson,422,164,Aidan Turner,255108370,The Hobbit: The Battle of the Five Armies ,Adventure|Fantasy
Color,Marc Webb,599,153,Emma Stone,262030663,The Amazing Spider-Man ,Action|Adventure|Fantasy
Color,Ridley Scott,343,156,Mark Addy,105219735,Robin Hood ,Action|Adventure|Drama|History
Color,Peter Jackson,509,186,Aidan Turner,258355354,The Hobbit: The Desolation of Smaug ,Adventure|Fantasy
Color,Chris Weitz,251,113,Christopher Lee,70083519,The Golden Compass ,Adventure|Family|Fantasy
Color,Peter Jackson,446,201,Naomi Watts,218051260,King Kong ,Action|Adventure|Drama|Romance
Color,James Cameron,315,194,Leonardo DiCaprio,658672302,Titanic ,Drama|Romance
Color,Anthony Russo,516,147,Robert Downey Jr.,407197282,Captain America: Civil War ,Action|Adventure|Sci-Fi
Color,Peter Berg,377,131,Liam Neeson,65173160,Battleship ,Action|Adventure|Sci-Fi|Thriller
Color,Colin Trevorrow,644,124,Bryce Dallas Howard,652177271,Jurassic World ,Action|Adventure|Sci-Fi|Thriller
Color,Sam Mendes,750,143,Albert Finney,304360277,Skyfall ,Action|Adventure|Thriller
Color,Sam Raimi,300,135,J.K. Simmons,373377893,Spider-Man 2 ,Action|Adventure|Fantasy|Romance
Color,Shane Black,608,195,Robert Downey Jr.,408992272,Iron Man 3 ,Action|Adventure|Sci-Fi
Color,Tim Burton,451,108,Johnny Depp,334185206,Alice in Wonderland ,Adventure|Family|Fantasy
Color,Brett Ratner,334,104,Hugh Jackman,234360014,X-Men: The Last Stand ,Action|Adventure|Fantasy|Sci-Fi|Thriller
Color,Dan Scanlon,376,104,Steve Buscemi,268488329,Monsters University ,Adventure|Animation|Comedy|Family|Fantasy
Color,Michael Bay,366,150,Glenn Morshower,402076689,Transformers: Revenge of the Fallen ,Action|Adventure|Sci-Fi
Color,Michael Bay,378,165,Bingbing Li,245428137,Transformers: Age of Extinction ,Action|Adventure|Sci-Fi
Color,Sam Raimi,525,130,Tim Holmes,234903076,Oz the Great and Powerful ,Adventure|Family|Fantasy
Color,Marc Webb,495,142,Emma Stone,202853933,The Amazing Spider-Man 2 ,Action|Adventure|Fantasy|Sci-Fi
Color,Joseph Kosinski,469,125,Jeff Bridges,172051787,TRON: Legacy ,Action|Adventure|Sci-Fi
Color,John Lasseter,304,106,Joe Mantegna,191450875,Cars 2 ,Adventure|Animation|Comedy|Family|Sport
Color,Martin Campbell,436,123,Ryan Reynolds,116593191,Green Lantern ,Action|Adventure|Sci-Fi
Color,Lee Unkrich,453,103,Tom Hanks,414984497,Toy Story 3 ,Adventure|Animation|Comedy|Family|Fantasy
Color,McG,422,118,Christian Bale,125320003,Terminator Salvation ,Action|Adventure|Sci-Fi
Color,James Wan,424,140,Jason Statham,350034110,Furious 7 ,Action|Crime|Thriller
Color,Marc Forster,654,123,Peter Capaldi,202351611,World War Z ,Action|Adventure|Horror|Sci-Fi|Thriller
Color,Bryan Singer,539,149,Jennifer Lawrence,233914986,X-Men: Days of Future Past ,Action|Adventure|Fantasy|Sci-Fi|Thriller
Color,J.J. Abrams,590,132,Benedict Cumberbatch,228756232,Star Trek Into Darkness ,Action|Adventure|Sci-Fi
Color,Bryan Singer,338,114,Eddie Marsan,65171860,Jack the Giant Slayer ,Adventure|Fantasy
Color,Baz Luhrmann,490,143,Leonardo DiCaprio,144812796,The Great Gatsby ,Drama|Romance
Color,Mike Newell,306,116,Jake Gyllenhaal,90755643,Prince of Persia: The Sands of Time ,Action|Adventure|Fantasy|Romance
Color,Guillermo del Toro,575,131,Charlie Hunnam,101785482,Pacific Rim ,Action|Adventure|Sci-Fi
Color,Michael Bay,428,154,Glenn Morshower,352358779,Transformers: Dark of the Moon ,Action|Adventure|Sci-Fi
Color,Steven Spielberg,470,122,Harrison Ford,317011114,Indiana Jones and the Kingdom of the Crystal Skull ,Action|Adventure|Fantasy
Color,Peter Sohn,298,93,A.J. Buckley,123070338,The Good Dinosaur ,Adventure|Animation|Comedy|Family|Fantasy
Color,Mark Andrews,488,93,Kelly Macdonald,237282182,Brave ,Adventure|Animation|Comedy|Family|Fantasy
Color,Justin Lin,322,122,Sofia Boutella,130468626,Star Trek Beyond ,Action|Adventure|Sci-Fi|Thriller
Color,Andrew Stanton,421,98,John Ratzenberger,223806889,WALL·E ,Adventure|Animation|Family|Sci-Fi
Color,Brett Ratner,162,91,Tzi Ma,140080850,Rush Hour 3 ,Action|Comedy|Crime|Thriller
Color,Roland Emmerich,367,158,Oliver Platt,166112167,2012 ,Action|Adventure|Sci-Fi
Color,Robert Zemeckis,240,96,Robin Wright,137850096,A Christmas Carol ,Animation|Drama|Family|Fantasy
Color,Lana Wachowski,384,127,Channing Tatum,47375327,Jupiter Ascending ,Action|Adventure|Sci-Fi
Color,David Yates,248,110,Christoph Waltz,124051759,The Legend of Tarzan ,Action|Adventure|Drama|Romance
Color,Andrew Adamson,284,150,Jim Broadbent,291709845,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",Adventure|Family|Fantasy
Color,Bryan Singer,396,144,Jennifer Lawrence,154985087,X-Men: Apocalypse ,Action|Adventure|Sci-Fi
Color,Christopher Nolan,645,152,Christian Bale,533316061,The Dark Knight ,Action|Crime|Drama|Thriller
Color,Pete Docter,408,96,John Ratzenberger,292979556,Up ,Adventure|Animation|Comedy|Family
Color,Rob Letterman,219,94,Amy Poehler,198332128,Monsters vs. Aliens ,Action|Adventure|Animation|Comedy|Family|Sci-Fi
Color,Jon Favreau,486,126,Robert Downey Jr.,318298180,Iron Man ,Action|Adventure|Sci-Fi
Color,Martin Scorsese,682,126,Chloë Grace Moretz,73820094,Hugo ,Adventure|Drama|Family|Mystery
Color,Barry Sonnenfeld,85,106,Will Smith,113745408,Wild Wild West ,Action|Comedy|Sci-Fi|Western
Color,Rob Cohen,264,112,Jet Li,102176165,The Mummy: Tomb of the Dragon Emperor ,Action|Adventure|Fantasy|Horror|Thriller
Color,David Ayer,418,123,Will Smith,161087183,Suicide Squad ,Action|Adventure|Comedy|Sci-Fi
Color,Tom Shadyac,186,96,Jimmy Bennett,100289690,Evan Almighty ,Comedy|Family|Fantasy
Color,Doug Liman,585,113,Tom Cruise,100189501,Edge of Tomorrow ,Action|Adventure|Sci-Fi
Color,Kevin Reynolds,91,176,Jeanne Tripplehorn,88246220,Waterworld ,Action|Adventure|Sci-Fi|Thriller
Color,Stephen Sommers,250,118,Joseph Gordon-Levitt,150167630,G.I. Joe: The Rise of Cobra ,Action|Adventure|Sci-Fi|Thriller
Color,Pete Docter,536,95,Amy Poehler,356454367,Inside Out ,Adventure|Animation|Comedy|Drama|Family|Fantasy
Color,Jon Favreau,370,106,Scarlett Johansson,362645141,The Jungle Book ,Adventure|Drama|Family|Fantasy
Color,Jon Favreau,453,124,Robert Downey Jr.,312057433,Iron Man 2 ,Action|Adventure|Sci-Fi
Color,Rupert Sanders,416,132,Chris Hemsworth,155111815,Snow White and the Huntsman ,Action|Adventure|Drama|Fantasy
Color,Robert Stromberg,401,97,Angelina Jolie Pitt,241407328,Maleficent ,Action|Adventure|Family|Fantasy|Romance
Color,Matt Reeves,521,130,Gary Oldman,208543795,Dawn of the Planet of the Apes ,Action|Adventure|Drama|Sci-Fi
Color,Roland Joffé,10,109,Tamsin Egerton,,The Lovers ,Action|Adventure|Romance|Sci-Fi
Color,Carl Rinsch,218,128,Keanu Reeves,38297305,47 Ronin ,Action|Adventure|Drama|Fantasy
Color,Anthony Russo,576,136,Scarlett Johansson,259746958,Captain America: The Winter Soldier ,Action|Adventure|Sci-Fi
Color,Mike Mitchell,226,93,Jon Hamm,238371987,Shrek Forever After ,Adventure|Animation|Comedy|Family|Fantasy
Color,Brad Bird,443,130,Judy Greer,93417865,Tomorrowland ,Action|Adventure|Family|Mystery|Sci-Fi
Color,Don Hall,384,102,Damon Wayans Jr.,222487711,Big Hero 6 ,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi
Color,Rich Moore,377,101,Jack McBrayer,189412677,Wreck-It Ralph ,Adventure|Animation|Comedy|Family|Sci-Fi
Color,Robert Zemeckis,188,100,Tom Hanks,665426,The Polar Express ,Adventure|Animation|Family|Fantasy
Color,Roland Emmerich,286,120,Vivica A. Fox,102315545,Independence Day: Resurgence ,Action|Adventure|Sci-Fi
Color,Dean DeBlois,288,98,Gerard Butler,217387997,How to Train Your Dragon ,Adventure|Animation|Family|Fantasy
Color,Jonathan Mostow,280,109,Nick Stahl,150350192,Terminator 3: Rise of the Machines ,Action|Sci-Fi
Color,James Gunn,653,121,Bradley Cooper,333130696,Guardians of the Galaxy ,Action|Adventure|Sci-Fi
Color,Christopher Nolan,712,169,Matthew McConaughey,187991439,Interstellar ,Adventure|Drama|Sci-Fi
Color,Christopher Nolan,642,148,Leonardo DiCaprio,292568851,Inception ,Action|Adventure|Sci-Fi|Thriller
Color,Hideaki Anno,1,120,Mark Chinnery,,Godzilla Resurgence ,Action|Adventure|Drama|Horror|Sci-Fi
Color,Peter Jackson,645,182,Aidan Turner,303001229,The Hobbit: An Unexpected Journey ,Adventure|Fantasy
Color,Rob Cohen,187,106,Paul Walker,144512310,The Fast and the Furious ,Action|Crime|Thriller
Color,David Fincher,362,166,Brad Pitt,127490802,The Curious Case of Benjamin Button ,Drama|Fantasy|Romance
Color,Matthew Vaughn,500,132,Jennifer Lawrence,146405371,X-Men: First Class ,Action|Adventure|Sci-Fi
Color,Francis Lawrence,389,137,Jennifer Lawrence,281666058,The Hunger Games: Mockingjay - Part 2 ,Adventure|Sci-Fi
Color,Jon Turteltaub,235,109,Nicolas Cage,63143812,The Sorcerer's Apprentice ,Action|Adventure|Family|Fantasy
Color,Wolfgang Petersen,231,98,Jimmy Bennett,60655503,Poseidon ,Action|Adventure|Drama|Thriller
Color,James Bobin,218,113,Johnny Depp,76846624,Alice Through the Looking Glass ,Adventure|Family|Fantasy
Color,Chris Miller,227,93,Justin Timberlake,320706665,Shrek the Third ,Adventure|Animation|Comedy|Family|Fantasy
Color,Duncan Jones,275,123,Dominic Cooper,46978995,Warcraft ,Action|Adventure|Fantasy
Color,Alan Taylor,474,126,J.K. Simmons,89732035,Terminator Genisys ,Action|Adventure|Sci-Fi
Color,Michael Apted,228,113,Bruce Spence,104383624,The Chronicles of Narnia: The Voyage of the Dawn Treader ,Adventure|Family|Fantasy
Black and White,Michael Bay,191,184,Jennifer Garner,198539855,Pearl Harbor ,Action|Drama|History|Romance|War
Color,Michael Bay,396,144,Zack Ward,318759914,Transformers ,Action|Adventure|Sci-Fi
Color,Oliver Stone,248,206,Anthony Hopkins,34293771,Alexander ,Action|Adventure|Biography|Drama|History|Romance|War
Color,David Yates,329,138,Robert Pattinson,292000866,Harry Potter and the Order of the Phoenix ,Adventure|Family|Fantasy|Mystery
Color,Mike Newell,295,157,Robert Pattinson,289994397,Harry Potter and the Goblet of Fire ,Adventure|Family|Fantasy|Mystery
Color,Peter Berg,318,102,Will Smith,227946274,Hancock ,Action|Drama
Color,Francis Lawrence,323,104,Will Smith,256386216,I Am Legend ,Drama|Horror|Sci-Fi
Color,Tim Burton,276,115,Johnny Depp,206456431,Charlie and the Chocolate Factory ,Adventure|Comedy|Family|Fantasy
Color,Brad Bird,318,111,Janeane Garofalo,206435493,Ratatouille ,Animation|Comedy|Family|Fantasy
Color,Christopher Nolan,478,128,Christian Bale,205343774,Batman Begins ,Action|Adventure
Color,Eric Darnell,167,89,Bernie Mac,179982968,Madagascar: Escape 2 Africa ,Action|Adventure|Animation|Comedy|Family
Color,Shawn Levy,185,105,Robin Williams,177243721,Night at the Museum: Battle of the Smithsonian ,Adventure|Comedy|Family|Fantasy
Color,Gavin Hood,350,119,Hugh Jackman,179883016,X-Men Origins: Wolverine ,Action|Adventure|Fantasy|Sci-Fi|Thriller
Color,Lana Wachowski,245,129,Essie Davis,139259759,The Matrix Revolutions ,Action|Sci-Fi
Color,Chris Buck,406,102,Josh Gad,400736600,Frozen ,Adventure|Animation|Comedy|Family|Fantasy|Musical
Color,Lana Wachowski,275,138,Steve Bastoni,281492479,The Matrix Reloaded ,Action|Sci-Fi
Color,Alan Taylor,486,112,Chris Hemsworth,206360018,Thor: The Dark World ,Action|Adventure|Fantasy
Color,George Miller,739,120,Tom Hardy,153629485,Mad Max: Fury Road ,Action|Adventure|Sci-Fi|Thriller
Color,Ron Howard,298,146,Tom Hanks,133375846,Angels & Demons ,Mystery|Thriller
Color,Kenneth Branagh,516,115,Chris Hemsworth,181015141,Thor ,Action|Adventure|Fantasy
Color,Byron Howard,225,96,Chloë Grace Moretz,114053579,Bolt ,Adventure|Animation|Comedy|Drama|Family
Color,Hoyt Yeatman,145,88,Kelli Garner,119420252,G-Force ,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi
Color,Jonathan Liebesman,310,99,Liam Neeson,83640426,Wrath of the Titans ,Action|Adventure|Fantasy
Color,Tim Burton,526,113,Johnny Depp,79711678,Dark Shadows ,Comedy|Fantasy|Horror
Color,Christopher McQuarrie,465,131,Tom Cruise,195000874,Mission: Impossible - Rogue Nation ,Action|Adventure|Thriller
Color,Joe Johnston,357,119,Anthony Hopkins,61937495,The Wolfman ,Drama|Fantasy|Horror|Thriller
Color,David Yates,248,110,Christoph Waltz,124051759,The Legend of Tarzan ,Action|Adventure|Drama|Romance
Color,Steve Hickner,194,91,Matthew Broderick,126597121,Bee Movie ,Adventure|Animation|Comedy|Family
Color,Jennifer Yuh Nelson,284,90,Angelina Jolie Pitt,165230261,Kung Fu Panda 2 ,Action|Adventure|Animation|Comedy|Family
Color,M. Night Shyamalan,280,103,Seychelle Gabriel,131564731,The Last Airbender ,Action|Adventure|Family|Fantasy
Color,J.J. Abrams,310,124,Philip Seymour Hoffman,133382309,Mission: Impossible III ,Action|Adventure|Thriller
Color,Roland Emmerich,339,131,Channing Tatum,73103784,White House Down ,Action|Drama|Thriller
Color,Simon Wells,132,88,Elisabeth Harnois,21379315,Mars Needs Moms ,Action|Adventure|Animation|Comedy|Family|Sci-Fi
Color,David Bowers,135,85,Hugh Jackman,64459316,Flushed Away ,Adventure|Animation|Comedy|Family
Color,Joe Wright,256,111,Hugh Jackman,34964818,Pan ,Adventure|Family|Fantasy
Color,Rob Minkoff,196,92,Ty Burrell,111505642,Mr. Peabody & Sherman ,Adventure|Animation|Comedy|Family|Sci-Fi
Color,Wolfgang Petersen,220,196,Brad Pitt,133228348,Troy ,Adventure
Color,Eric Darnell,211,93,Jada Pinkett Smith,216366733,Madagascar 3: Europe's Most Wanted ,Adventure|Animation|Comedy|Family
Black and White,Lee Tamahori,264,133,Toby Stephens,160201106,Die Another Day ,Action|Adventure|Thriller
Color,Paul Feig,464,116,Ed Begley Jr.,118099659,Ghostbusters ,Action|Comedy|Fantasy|Sci-Fi
Color,Michael Bay,167,153,Bruce Willis,201573391,Armageddon ,Action|Adventure|Sci-Fi|Thriller
Color,Barry Sonnenfeld,208,88,Will Smith,190418803,Men in Black II ,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi
Color,Robert Zemeckis,287,115,Robin Wright,82161969,Beowulf ,Action|Adventure|Animation|Fantasy
Color,Alessandro Carloni,210,95,J.K. Simmons,143523463,Kung Fu Panda 3 ,Action|Adventure|Animation|Comedy|Family
Color,Brad Bird,432,133,Tom Cruise,209364921,Mission: Impossible - Ghost Protocol ,Action|Adventure|Thriller
Color,Peter Ramsey,256,97,Hugh Jackman,103400692,Rise of the Guardians ,Adventure|Animation|Family|Fantasy
Color,Dean Parisot,135,90,John Michael Higgins,110332737,Fun with Dick and Jane ,Comedy|Crime
Color,Edward Zwick,190,154,Tom Cruise,111110575,The Last Samurai ,Action|Drama|History|War
Color,Ridley Scott,314,150,Christian Bale,65007045,Exodus: Gods and Kings ,Action|Adventure|Drama
Color,J.J. Abrams,518,127,Chris Hemsworth,257704099,Star Trek ,Action|Adventure|Sci-Fi
Color,Sam Raimi,291,121,J.K. Simmons,403706375,Spider-Man ,Action|Adventure|Fantasy|Romance
Color,Dean DeBlois,292,102,Gerard Butler,176997107,How to Train Your Dragon 2 ,Action|Adventure|Animation|Comedy|Family|Fantasy
Color,Alex Proyas,184,126,Gerard Butler,31141074,Gods of Egypt ,Action|Adventure|Fantasy
Color,Rob Cohen,145,121,Sam Shepard,31704416,Stealth ,Action|Adventure|Sci-Fi|Thriller
Color,Zack Snyder,451,215,Matt Frewer,107503316,Watchmen ,Action|Drama|Mystery|Sci-Fi
Color,Richard Donner,141,127,Jet Li,129734803,Lethal Weapon 4 ,Action|Crime|Thriller
Color,Ang Lee,267,138,Kevin Rankin,132122995,Hulk ,Action|Sci-Fi
Color,Jon M. Chu,351,122,Channing Tatum,122512052,G.I. Joe: Retaliation ,Action|Adventure|Sci-Fi|Thriller
Color,Breck Eisner,163,124,Matthew McConaughey,68642452,Sahara ,Action|Adventure|Comedy|Thriller
Color,Hironobu Sakaguchi,166,106,Steve Buscemi,32131830,Final Fantasy: The Spirits Within ,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi
Color,Joe Johnston,510,124,Chris Evans,176636816,Captain America: The First Avenger ,Action|Adventure|Sci-Fi
Color,Michael Apted,197,128,Colin Salmon,126930660,The World Is Not Enough ,Action|Adventure|Thriller
Color,Peter Weir,244,138,James D'Arcy,93926386,Master and Commander: The Far Side of the World ,Action|Adventure|Drama|History|War
Color,Bill Condon,322,115,Robert Pattinson,292298923,The Twilight Saga: Breaking Dawn - Part 2 ,Adventure|Drama|Fantasy|Romance
Color,George Miller,156,100,Robin Williams,63992328,Happy Feet 2 ,Animation|Comedy|Family|Musical
Color,Louis Leterrier,354,135,Ty Burrell,134518390,The Incredible Hulk ,Action|Adventure|Sci-Fi
Color,,21,60,Don Johnson,,Miami Vice ,Action|Crime|Drama|Mystery|Thriller
Color,Steven Spielberg,252,117,Mark Rylance,52792307,The BFG ,Adventure|Family|Fantasy
Color,Alejandro G. Iñárritu,556,156,Leonardo DiCaprio,183635922,The Revenant ,Adventure|Drama|Thriller|Western
Color,David Soren,166,96,Ryan Reynolds,83024900,Turbo ,Adventure|Animation|Comedy|Family|Sport
Color,Gore Verbinski,362,107,Johnny Depp,123207194,Rango ,Adventure|Animation|Comedy|Family|Western
Color,Eric Darnell,153,92,Benedict Cumberbatch,83348920,Penguins of Madagascar ,Adventure|Animation|Comedy|Family
Color,Paul Greengrass,329,115,Matt Damon,227137090,The Bourne Ultimatum ,Action|Mystery|Thriller
Color,Mark Osborne,266,92,Angelina Jolie Pitt,215395021,Kung Fu Panda ,Action|Adventure|Animation|Comedy|Family
Color,Peyton Reed,517,117,Judy Greer,180191634,Ant-Man ,Action|Adventure|Comedy|Sci-Fi
Color,Francis Lawrence,502,146,Jennifer Lawrence,424645577,The Hunger Games: Catching Fire ,Adventure|Sci-Fi|Thriller
Color,Bill Condon,322,115,Robert Pattinson,292298923,The Twilight Saga: Breaking Dawn - Part 2 ,Adventure|Drama|Fantasy|Romance
Color,Tim Johnson,165,94,Jim Parsons,177343675,Home ,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi
Color,Steven Spielberg,401,116,Tom Cruise,234277056,War of the Worlds ,Adventure|Sci-Fi|Thriller
Color,Michael Bay,94,147,Will Smith,138396624,Bad Boys II ,Action|Comedy|Crime|Thriller
Color,Chris Miller,246,90,Salma Hayek,149234747,Puss in Boots ,Action|Adventure|Animation|Comedy|Family|Fantasy
Color,Phillip Noyce,330,101,Angelina Jolie Pitt,118311368,Salt ,Action|Crime|Mystery|Thriller
Color,Darren Aronofsky,434,138,Anthony Hopkins,101160529,Noah ,Action|Adventure|Drama
Color,Steven Spielberg,440,107,Toby Jones,77564037,The Adventures of Tintin ,Action|Adventure|Family|Mystery
Color,Alfonso Cuarón,274,142,Daniel Radcliffe,249358727,Harry Potter and the Prisoner of Azkaban ,Adventure|Family|Fantasy|Mystery
Color,Baz Luhrmann,245,165,Essie Davis,49551662,Australia ,Adventure|Drama|Romance|War
Color,M. Night Shyamalan,349,100,Will Smith,60522097,After Earth ,Action|Adventure|Sci-Fi
Color,Eric Leighton,145,82,Alfre Woodard,137748063,Dinosaur ,Adventure|Animation|Family|Thriller
Color,Matt Birch,1,,Rupert Grint,,Harry Potter and the Deathly Hallows: Part II ,Action|Fantasy
Color,Shawn Levy,154,98,Robin Williams,113733726,Night at the Museum: Secret of the Tomb ,Adventure|Comedy|Family|Fantasy
Color,Tom McGrath,233,95,J.K. Simmons,148337537,Megamind ,Action|Animation|Comedy|Family|Sci-Fi
Color,Chris Columbus,258,159,Daniel Radcliffe,317557891,Harry Potter and the Sorcerer's Stone ,Adventure|Family|Fantasy
Color,Robert Schwentke,208,96,Ryan Reynolds,33592415,R.I.P.D. ,Action|Comedy|Fantasy
Color,Hideaki Anno,1,120,Mark Chinnery,,Godzilla Resurgence ,Action|Adventure|Drama|Horror|Sci-Fi
Color,Gore Verbinski,271,143,Johnny Depp,305388685,Pirates of the Caribbean: The Curse of the Black Pearl ,Action|Adventure|Fantasy
Color,Matt Birch,4,,Rupert Grint,,Harry Potter and the Deathly Hallows: Part I ,Fantasy
Color,Francis Lawrence,403,123,Jennifer Lawrence,337103873,The Hunger Games: Mockingjay - Part 1 ,Adventure|Sci-Fi|Thriller
Color,Ron Howard,294,174,Tom Hanks,217536138,The Da Vinci Code ,Mystery|Thriller
Color,Carlos Saldanha,159,101,Miguel Ferrer,131536019,Rio 2 ,Adventure|Animation|Comedy|Family|Musical
Color,Bryan Singer,289,134,Hugh Jackman,214948780,X-Men 2 ,Action|Adventure|Fantasy|Sci-Fi|Thriller
Color,Justin Lin,342,132,Paul Walker,209805005,Fast Five ,Action|Crime|Thriller
Color,Guy Ritchie,382,129,Robert Downey Jr.,186830669,Sherlock Holmes: A Game of Shadows ,Action|Adventure|Crime|Mystery|Thriller
Color,Louis Leterrier,344,106,Liam Neeson,163192114,Clash of the Titans ,Action|Adventure|Fantasy
Color,Paul Verhoeven,196,113,Ronny Cox,119412921,Total Recall ,Action|Sci-Fi
Color,John McTiernan,85,102,Tony Curran,32694788,The 13th Warrior ,Action|Adventure|History
Color,Tony Gilroy,436,135,Jeremy Renner,113165635,The Bourne Legacy ,Action|Adventure|Thriller
Color,Joel Schumacher,183,125,Michael Gough,107285004,Batman & Robin ,Action
Color,Ron Howard,175,110,Clint Howard,260031035,How the Grinch Stole Christmas ,Comedy|Family|Fantasy
Color,Roland Emmerich,239,124,Jake Gyllenhaal,186739919,The Day After Tomorrow ,Action|Adventure|Sci-Fi|Thriller
Color,John Woo,237,123,Tom Cruise,215397307,Mission: Impossible II ,Action|Adventure|Thriller
Color,Wolfgang Petersen,231,130,Karen Allen,182618434,The Perfect Storm ,Action|Adventure|Drama|Thriller
Color,Tim Story,262,92,Chris Evans,131920333,Fantastic 4: Rise of the Silver Surfer ,Action|Adventure|Sci-Fi|Thriller
Color,Ang Lee,552,127,Suraj Sharma,124976634,Life of Pi ,Adventure|Drama|Fantasy
Color,Mark Steven Johnson,276,123,Nicolas Cage,115802596,Ghost Rider ,Action|Fantasy|Thriller
Color,Paul Greengrass,267,123,Matt Damon,108521835,Jason Bourne ,Action|Thriller
Color,McG,102,107,Demi Moore,100685880,Charlie's Angels: Full Throttle ,Action|Adventure|Comedy|Crime
Color,Ridley Scott,775,124,Michael Fassbender,126464904,Prometheus ,Adventure|Mystery|Sci-Fi
Color,Rob Minkoff,71,77,Nathan Lane,64736114,Stuart Little 2 ,Adventure|Animation|Comedy|Family|Fantasy
Color,Neill Blomkamp,476,109,Matt Damon,93050117,Elysium ,Action|Drama|Sci-Fi|Thriller
Color,David Twohy,207,134,Vin Diesel,57637485,The Chronicles of Riddick ,Action|Adventure|Sci-Fi|Thriller
Color,José Padilha,492,117,Gary Oldman,58607007,RoboCop ,Action|Crime|Sci-Fi|Thriller
Color,Lana Wachowski,284,135,Scott Porter,43929341,Speed Racer ,Action|Family|Sport
Color,James L. Brooks,168,121,Shelley Conn,30212620,How Do You Know ,Comedy|Drama|Romance
Color,James Mangold,283,117,Tom Cruise,76418654,Knight and Day ,Action|Comedy|Romance
Color,Joseph Kosinski,539,124,Morgan Freeman,89021735,Oblivion ,Action|Adventure|Mystery|Sci-Fi
Color,George Lucas,359,140,Natalie Portman,380262555,Star Wars: Episode III - Revenge of the Sith ,Action|Adventure|Fantasy|Sci-Fi
Color,George Lucas,284,142,Natalie Portman,310675583,Star Wars: Episode II - Attack of the Clones ,Action|Adventure|Fantasy|Sci-Fi
Color,Pete Docter,250,92,Steve Buscemi,289907418,"Monsters, Inc. ",Adventure|Animation|Comedy|Family|Fantasy
Color,James Mangold,440,138,Hugh Jackman,132550960,The Wolverine ,Action|Adventure|Sci-Fi|Thriller
Color,George Lucas,320,136,Natalie Portman,474544677,Star Wars: Episode I - The Phantom Menace ,Action|Adventure|Fantasy|Sci-Fi
Color,Kirk De Micco,257,98,Ryan Reynolds,187165546,The Croods ,Adventure|Animation|Comedy|Family|Fantasy
Color,Frédéric Forestier,33,116,Alain Delon,,Asterix at the Olympic Games ,Adventure|Comedy|Family|Fantasy
Color,John Woo,152,153,Nicolas Cage,40911830,Windtalkers ,Action|Drama|War
Color,Cedric Nicolas-Troyan,231,120,Chris Hemsworth,47952020,The Huntsman: Winter's War ,Action|Adventure|Drama|Fantasy
Color,Jonathan Liebesman,348,101,Noel Fisher,190871240,Teenage Mutant Ninja Turtles ,Action|Adventure|Comedy|Sci-Fi
